Date,Time,Open,High,Low,Close,Volume
20210429,07:00:00,1781.07,1789.88,1756.03,1771.61,79110350
20210430,07:00:00,1771.88,1773.59,1764.11,1768.43,74680260
20210503,07:00:00,1768.87,1797.80,1765.94,1792.39,64307550
20210504,07:00:00,1792.59,1798.88,1770.64,1778.60,81613070
20210505,07:00:00,1778.71,1787.85,1770.23,1786.18,72120870
20210506,07:00:00,1786.47,1817.95,1781.88,1814.45,77127020
20210507,07:00:00,1814.56,1843.17,1812.75,1830.62,95394430
20210510,07:00:00,1833.43,1845.30,1830.00,1835.62,97447820
20210511,07:00:00,1835.22,1841.72,1817.88,1836.90,91067310
20210512,07:00:00,1836.63,1843.60,1813.14,1815.20,104727030
20210513,07:00:00,1817.04,1828.68,1808.66,1825.90,108527070
20210514,07:00:00,1826.35,1845.85,1819.57,1842.69,87048330
20210517,07:00:00,1844.53,1868.39,1840.50,1866.23,81654430
20210518,07:00:00,1866.24,1874.85,1863.11,1868.69,59701340
20210519,07:00:00,1869.09,1890.02,1852.10,1869.33,65102550
20210520,07:00:00,1868.60,1883.76,1863.73,1876.57,50898230
20210521,07:00:00,1877.26,1889.23,1870.00,1880.90,48497700
20210524,07:00:00,1882.12,1886.88,1875.06,1880.69,50522310
20210525,07:00:00,1880.00,1900.12,1872.61,1898.60,72538680
20210526,07:00:00,1898.86,1912.65,1890.59,1896.37,79977840
20210527,07:00:00,1896.51,1903.48,1888.19,1896.06,85393440
20210528,07:00:00,1896.04,1905.80,1882.13,1902.65,58493850
20210531,07:00:00,1903.34,1910.55,1902.01,1906.52,29231450
20210601,07:00:00,1907.39,1916.48,1892.27,1899.98,60210980
20210602,07:00:00,1899.63,1908.97,1894.23,1908.05,53261780
20210603,07:00:00,1907.63,1909.50,1865.18,1870.49,66918150
20210604,07:00:00,1870.01,1896.10,1855.32,1890.71,66825810
20210607,07:00:00,1891.40,1900.02,1881.41,1898.83,56711210
20210608,07:00:00,1897.97,1903.69,1883.62,1892.55,60842510
20210609,07:00:00,1892.14,1898.92,1887.24,1888.18,54372270
20210610,07:00:00,1887.67,1899.76,1869.67,1898.04,68008070
20210611,07:00:00,1897.78,1902.95,1874.38,1877.05,59615550
20210614,07:00:00,1876.76,1877.89,1844.48,1865.90,59243810
20210615,07:00:00,1865.53,1869.07,1851.48,1858.72,56561780
20210616,07:00:00,1857.98,1862.93,1803.27,1811.49,66541960
20210617,07:00:00,1810.85,1825.23,1767.13,1773.14,101529930
20210618,07:00:00,1772.43,1797.06,1760.77,1763.20,86704610
20210621,07:00:00,1763.94,1786.39,1763.84,1782.75,85639970
20210622,07:00:00,1781.92,1789.99,1772.23,1778.32,55762270
20210623,07:00:00,1778.17,1794.84,1773.21,1778.70,46494460
20210624,07:00:00,1778.31,1787.85,1772.78,1775.17,33776920
20210625,07:00:00,1774.77,1790.27,1773.59,1780.94,32106300
20210628,07:00:00,1781.23,1785.72,1770.52,1777.91,34961210
20210629,07:00:00,1777.63,1778.82,1750.49,1760.87,35720560
20210630,07:00:00,1760.88,1774.28,1753.23,1769.64,34291870
20210701,07:00:00,1769.54,1782.68,1765.53,1776.26,36147210
20210702,07:00:00,1775.34,1794.93,1774.11,1786.98,35736090
20210705,07:00:00,1786.53,1795.13,1784.34,1791.55,20866000
20210706,07:00:00,1791.37,1814.92,1789.94,1796.54,37082950
20210707,07:00:00,1796.03,1809.65,1793.75,1803.07,35899510
20210708,07:00:00,1803.30,1818.29,1794.18,1802.38,39209730
20210709,07:00:00,1801.94,1812.30,1796.56,1807.84,32260620
20210712,07:00:00,1807.57,1810.71,1791.38,1805.58,34339880
20210713,07:00:00,1805.74,1817.06,1798.51,1807.40,38178420
20210714,07:00:00,1807.12,1829.68,1804.45,1826.87,37371110
20210715,07:00:00,1826.88,1833.98,1820.13,1828.87,34176050
20210716,07:00:00,1828.64,1831.95,1808.87,1811.55,35144210
20210719,07:00:00,1810.89,1817.18,1794.87,1811.91,46880720
20210720,07:00:00,1811.97,1824.90,1804.95,1809.88,38179670
20210721,07:00:00,1809.46,1813.66,1794.61,1803.08,33813650
20210722,07:00:00,1802.49,1807.96,1792.65,1806.50,36185470
20210723,07:00:00,1806.19,1810.22,1789.41,1801.70,32384790
20210726,07:00:00,1801.99,1811.40,1796.30,1797.17,36038660
20210727,07:00:00,1797.05,1805.12,1793.49,1798.64,30366780
20210728,07:00:00,1799.18,1809.72,1792.42,1806.24,34486590
20210729,07:00:00,1806.93,1832.59,1806.69,1827.74,33208260
20210730,07:00:00,1827.17,1831.25,1810.14,1813.40,28071140
20210802,07:00:00,1813.32,1819.42,1805.64,1813.19,35621100
20210803,07:00:00,1812.94,1814.91,1807.02,1810.31,24149500
20210804,07:00:00,1809.85,1831.61,1806.33,1811.48,31360890
20210805,07:00:00,1811.00,1814.75,1797.71,1804.11,29077520
20210806,07:00:00,1803.87,1804.70,1758.58,1762.57,34607070
20210809,07:00:00,1762.89,1764.45,1670.49,1729.53,45304890
20210810,07:00:00,1729.23,1738.16,1717.60,1728.65,32608280
20210811,07:00:00,1728.40,1754.29,1723.99,1751.36,32858010
20210812,07:00:00,1750.33,1758.04,1741.48,1752.44,28544830
20210813,07:00:00,1751.92,1779.85,1751.57,1779.22,29079250
20210816,07:00:00,1778.13,1789.20,1770.70,1787.00,37004580
20210817,07:00:00,1787.03,1795.44,1780.45,1785.76,31342180
20210818,07:00:00,1785.64,1793.64,1777.21,1787.21,28493980
20210819,07:00:00,1786.83,1792.37,1774.36,1779.92,34064700
20210820,07:00:00,1778.92,1788.28,1778.27,1780.46,30300670
20210823,07:00:00,1779.60,1806.38,1776.39,1804.89,30056550
20210824,07:00:00,1804.91,1809.46,1800.65,1802.43,26543770
20210825,07:00:00,1801.89,1802.97,1782.45,1790.51,28101260
20210826,07:00:00,1790.14,1798.10,1779.93,1791.97,30843990
20210827,07:00:00,1791.76,1819.22,1783.80,1816.16,33461790
20210830,07:00:00,1818.33,1823.08,1807.62,1809.85,23018610
20210831,07:00:00,1809.73,1819.08,1801.60,1813.03,27640030
20210901,07:00:00,1812.97,1819.90,1808.58,1813.53,24557490
20210902,07:00:00,1812.84,1817.00,1804.88,1809.46,21961670
20210903,07:00:00,1809.01,1833.91,1808.77,1827.29,32563840
20210906,07:00:00,1829.97,1830.10,1821.34,1823.01,14185400
20210907,07:00:00,1822.63,1827.13,1792.30,1793.98,33189160
20210908,07:00:00,1793.93,1802.07,1782.25,1788.89,38851400
20210909,07:00:00,1788.62,1800.88,1783.72,1794.09,27865360
20210910,07:00:00,1793.81,1803.75,1786.98,1787.05,37206480
20210913,07:00:00,1788.35,1798.26,1783.57,1793.36,37673600
20210914,07:00:00,1792.92,1808.56,1780.29,1803.95,41960720
20210915,07:00:00,1803.81,1806.80,1790.66,1793.60,34292500
20210916,07:00:00,1793.02,1796.07,1745.22,1753.30,38855480
20210917,07:00:00,1753.25,1767.42,1747.26,1753.49,36643410
20210920,07:00:00,1753.96,1767.05,1741.98,1763.67,36627210
20210921,07:00:00,1763.69,1781.66,1757.84,1774.02,35500680
20210922,07:00:00,1773.76,1787.19,1764.50,1767.59,40360110
20210923,07:00:00,1767.47,1776.46,1737.77,1742.13,41004350
20210924,07:00:00,1742.57,1757.56,1740.34,1749.88,37708850
20210927,07:00:00,1751.50,1760.74,1744.76,1749.73,44917470
20210928,07:00:00,1749.26,1754.34,1728.01,1733.59,50343900
20210929,07:00:00,1733.38,1745.42,1721.55,1725.94,50725920
20210930,07:00:00,1725.85,1764.09,1722.10,1756.35,52233470
20211001,07:00:00,1756.57,1764.18,1749.65,1760.10,50386270
20211004,07:00:00,1762.08,1770.47,1747.61,1769.21,52774880
20211005,07:00:00,1768.96,1769.96,1748.49,1759.74,43540180
20211006,07:00:00,1759.38,1765.02,1745.77,1762.42,50224140
20211007,07:00:00,1762.33,1766.85,1751.84,1755.53,39548780
20211008,07:00:00,1755.26,1781.23,1753.24,1756.61,38840770
20211011,07:00:00,1757.14,1760.88,1750.07,1753.78,44244610
20211012,07:00:00,1753.34,1769.24,1750.66,1759.73,41626270
20211013,07:00:00,1759.42,1796.06,1757.83,1792.44,46547290
20211014,07:00:00,1792.42,1800.46,1786.60,1795.50,37659790
20211015,07:00:00,1795.20,1796.38,1764.75,1766.66,38626360
20211018,07:00:00,1766.57,1772.01,1760.18,1764.56,46894900
20211019,07:00:00,1764.31,1785.04,1762.85,1768.90,41819080
20211020,07:00:00,1769.57,1788.37,1766.74,1781.77,43900490
20211021,07:00:00,1781.22,1789.37,1776.37,1782.32,46114280
20211022,07:00:00,1782.25,1813.75,1782.25,1791.63,53731630
20211025,07:00:00,1792.47,1809.97,1792.16,1807.39,46076150
20211026,07:00:00,1806.87,1808.22,1782.29,1792.28,36872780
20211027,07:00:00,1792.43,1798.98,1783.37,1796.18,39615000
20211028,07:00:00,1796.97,1810.34,1792.20,1798.31,47453080
20211029,07:00:00,1799.07,1801.07,1771.85,1782.99,48605780
20211101,07:00:00,1783.03,1795.74,1779.00,1793.00,36535110
20211102,07:00:00,1792.97,1796.29,1786.25,1787.51,29880550
20211103,07:00:00,1786.92,1788.07,1758.64,1769.53,33425620
20211104,07:00:00,1768.79,1798.80,1768.73,1791.84,41661960
20211105,07:00:00,1791.20,1818.13,1784.89,1817.59,42970280
20211108,07:00:00,1818.38,1826.40,1812.31,1823.51,33324180
20211109,07:00:00,1823.19,1832.63,1819.04,1831.41,55819720
20211110,07:00:00,1831.38,1868.46,1822.17,1848.90,44038110
20211111,07:00:00,1848.49,1865.90,1842.75,1861.57,33703770
20211112,07:00:00,1861.06,1868.57,1845.09,1864.45,36897370
20211115,07:00:00,1869.36,1870.47,1856.32,1862.39,41416090
20211116,07:00:00,1862.21,1877.12,1849.56,1850.46,40182210
20211117,07:00:00,1849.87,1867.96,1849.33,1867.14,35280120
20211118,07:00:00,1866.45,1870.81,1854.95,1858.45,42196000
20211119,07:00:00,1858.04,1865.67,1842.87,1845.17,57166430
20211122,07:00:00,1846.53,1848.98,1802.14,1804.07,46880340
20211123,07:00:00,1805.64,1812.32,1781.86,1788.71,44243380
20211124,07:00:00,1788.57,1796.29,1778.40,1788.21,38173370
20211125,07:00:00,1789.39,1794.97,1785.93,1788.47,14634680
20211126,07:00:00,1790.80,1815.41,1780.36,1792.66,38418500
20211129,07:00:00,1790.19,1799.26,1775.56,1784.04,38699340
20211130,07:00:00,1783.18,1808.62,1769.76,1773.95,50616170
20211201,07:00:00,1775.05,1794.41,1772.05,1781.35,46154860
20211202,07:00:00,1781.79,1783.24,1761.82,1768.40,43167650
20211203,07:00:00,1768.20,1786.00,1766.02,1782.79,52641840
20211206,07:00:00,1784.36,1787.63,1775.59,1778.22,44543070
20211207,07:00:00,1778.30,1787.71,1772.17,1783.62,54075310
20211208,07:00:00,1783.72,1793.00,1779.48,1782.73,32129400
20211209,07:00:00,1782.37,1787.51,1773.14,1774.94,31768990
20211210,07:00:00,1774.66,1789.40,1769.97,1782.29,31309970
20211213,07:00:00,1783.06,1791.45,1781.70,1786.28,35003660
20211214,07:00:00,1786.06,1789.41,1766.36,1770.43,35116390
20211215,07:00:00,1771.42,1780.76,1752.93,1776.79,42837390
20211216,07:00:00,1776.22,1799.56,1775.42,1798.91,41142550
20211217,07:00:00,1798.55,1814.15,1795.76,1797.71,33180050
20211220,07:00:00,1799.44,1804.06,1788.19,1790.46,42556160
20211221,07:00:00,1789.81,1800.44,1784.84,1788.82,33978810
20211222,07:00:00,1788.17,1804.95,1785.80,1803.28,30936500
20211223,07:00:00,1803.80,1810.63,1798.78,1808.36,28694690
20211227,07:00:00,1808.54,1813.39,1802.86,1811.74,25361140
20211228,07:00:00,1811.07,1820.10,1804.92,1805.87,23993520
20211229,07:00:00,1805.57,1807.58,1789.35,1804.30,26710150
20211230,07:00:00,1804.03,1817.11,1796.06,1814.35,24044540
20211231,07:00:00,1814.39,1830.25,1814.12,1829.06,24522920
20220103,07:00:00,1828.60,1831.62,1798.19,1801.03,36838720
20220104,07:00:00,1800.40,1816.69,1798.39,1814.28,37367240
20220105,07:00:00,1813.71,1829.58,1808.17,1810.23,41987510
20220106,07:00:00,1810.17,1811.44,1786.29,1790.69,49725770
20220107,07:00:00,1790.54,1798.52,1782.49,1795.81,41639280
20220110,07:00:00,1793.95,1802.25,1790.23,1801.26,42679560
20220111,07:00:00,1801.02,1823.23,1799.95,1821.23,40241640
20220112,07:00:00,1820.48,1827.98,1814.58,1825.76,39254590
20220113,07:00:00,1825.05,1828.06,1812.23,1822.13,37402630
20220114,07:00:00,1822.24,1829.05,1814.58,1817.42,40538100
20220117,07:00:00,1817.04,1823.09,1813.00,1819.01,20969020
20220118,07:00:00,1817.90,1822.64,1805.66,1813.38,51485040
20220119,07:00:00,1812.52,1843.32,1810.14,1840.11,46770800
20220120,07:00:00,1840.16,1847.80,1835.81,1838.79,49636060
20220121,07:00:00,1838.50,1843.11,1828.38,1834.33,53454620
20220124,07:00:00,1834.52,1844.21,1829.56,1842.54,63620720
20220125,07:00:00,1842.67,1853.75,1834.84,1847.46,52265650
20220126,07:00:00,1846.92,1849.94,1814.84,1819.22,56635380
20220127,07:00:00,1818.99,1822.00,1791.68,1797.06,58287250
20220128,07:00:00,1796.24,1799.31,1780.16,1791.03,56454910
20220131,07:00:00,1791.93,1799.81,1785.46,1796.67,45358770
20220201,07:00:00,1797.33,1808.64,1795.63,1800.89,41015090
20220202,07:00:00,1799.82,1810.72,1794.36,1806.35,38958920
20220203,07:00:00,1806.37,1808.88,1788.54,1804.59,54965390
20220204,07:00:00,1803.81,1814.80,1792.02,1807.56,55256850
20220207,07:00:00,1806.72,1823.46,1806.68,1820.26,76704760
20220208,07:00:00,1819.94,1828.66,1815.31,1825.79,57170470
20220209,07:00:00,1825.29,1835.71,1824.54,1832.89,43304810
20220210,07:00:00,1833.16,1841.84,1821.53,1826.54,62047870
20220211,07:00:00,1826.42,1865.38,1820.84,1857.90,68942310
20220214,07:00:00,1859.23,1874.02,1850.70,1870.91,75958590
20220215,07:00:00,1871.08,1879.38,1844.40,1853.43,58995730
20220216,07:00:00,1853.15,1872.50,1850.19,1869.50,51701450
20220217,07:00:00,1869.85,1901.02,1867.70,1897.93,70435800
20220218,07:00:00,1898.12,1902.36,1886.48,1897.77,58767440
20220221,07:00:00,1900.82,1908.16,1887.45,1905.01,55154300
20220222,07:00:00,1908.75,1914.02,1891.27,1898.16,72082520
20220223,07:00:00,1898.35,1910.41,1889.55,1908.66,57742800
20220224,07:00:00,1909.49,1974.40,1877.94,1903.71,108900340
20220225,07:00:00,1903.72,1921.48,1882.83,1888.53,75880000
20220228,07:00:00,1919.21,1930.95,1890.77,1908.74,82460500
20220301,07:00:00,1908.64,1950.08,1901.27,1945.09,90318560
20220302,07:00:00,1944.32,1947.79,1913.74,1928.22,75833350
20220303,07:00:00,1928.94,1941.20,1921.91,1935.44,79554820
20220304,07:00:00,1935.44,1970.65,1929.50,1969.85,103409270
20220307,07:00:00,1974.47,2002.52,1960.88,1997.79,93696040
20220308,07:00:00,1996.81,2070.36,1980.94,2050.17,86053400
20220309,07:00:00,2049.66,2059.07,1976.01,1991.09,76217670
20220310,07:00:00,1989.83,2009.06,1970.51,1996.55,55346860
20220311,07:00:00,1994.94,1998.82,1958.44,1988.25,41312200
20220314,07:00:00,1984.74,1990.31,1949.63,1950.46,38758810
20220315,07:00:00,1951.34,1954.46,1906.95,1917.83,48475490
20220316,07:00:00,1917.24,1929.33,1894.95,1927.28,47864680
20220317,07:00:00,1925.87,1949.75,1923.06,1942.58,40193160
20220318,07:00:00,1942.79,1945.20,1917.80,1921.20,33526790
20220321,07:00:00,1921.36,1941.17,1917.86,1935.48,32835660
20220322,07:00:00,1935.43,1938.27,1910.51,1921.29,36868950
20220323,07:00:00,1921.15,1948.29,1915.45,1943.48,34437620
20220324,07:00:00,1942.89,1966.08,1937.28,1957.67,37379030
20220325,07:00:00,1956.93,1964.15,1943.00,1957.69,50090280
20220328,07:00:00,1956.97,1959.05,1916.84,1922.44,57741460
20220329,07:00:00,1922.20,1929.17,1890.00,1919.05,60450390
20220330,07:00:00,1918.67,1938.43,1915.79,1932.47,47053920
20220331,07:00:00,1932.27,1949.72,1918.99,1936.79,50252020
20220401,07:00:00,1936.15,1939.36,1917.91,1924.78,40676250
20220404,07:00:00,1923.79,1936.88,1915.33,1932.67,41554880
20220405,07:00:00,1931.88,1944.46,1917.84,1923.45,39947680
20220406,07:00:00,1924.13,1933.35,1915.04,1924.97,49963760
20220407,07:00:00,1923.98,1937.71,1920.38,1931.53,62102240
20220408,07:00:00,1931.36,1948.09,1927.55,1947.14,41236870
20220411,07:00:00,1946.14,1969.56,1939.88,1953.25,53739880
20220412,07:00:00,1953.13,1978.51,1949.52,1966.48,46389780
20220413,07:00:00,1966.22,1981.48,1962.72,1977.52,46082420
20220414,07:00:00,1977.07,1980.25,1960.41,1973.22,48051590
20220418,07:00:00,1974.04,1998.27,1970.84,1978.66,46184050
20220419,07:00:00,1978.46,1981.85,1943.59,1949.83,53140930
20220420,07:00:00,1949.35,1958.21,1939.16,1957.44,56345090
20220421,07:00:00,1957.55,1957.55,1936.63,1951.26,50466950
20220422,07:00:00,1951.04,1955.48,1926.46,1930.71,60044760
20220425,07:00:00,1930.52,1934.33,1891.37,1897.55,63779010
20220426,07:00:00,1898.13,1911.11,1895.61,1905.02,51891350
20220427,07:00:00,1905.07,1906.90,1881.25,1885.75,58850040
20220428,07:00:00,1885.21,1896.61,1871.94,1894.23,55500960
20220429,07:00:00,1894.14,1919.84,1892.47,1895.75,56584820
20220502,07:00:00,1895.63,1899.79,1854.47,1862.64,53862810
20220503,07:00:00,1862.33,1878.00,1850.31,1867.85,45747580
20220504,07:00:00,1867.84,1889.66,1861.30,1880.57,46622220
20220505,07:00:00,1881.30,1909.63,1872.36,1876.79,63635750
20220506,07:00:00,1876.03,1892.37,1866.00,1883.15,55149680
20220509,07:00:00,1883.07,1885.56,1851.56,1853.74,53994100
20220510,07:00:00,1853.95,1865.28,1835.39,1837.96,56154010
20220511,07:00:00,1837.66,1858.02,1831.84,1852.09,55063280
20220512,07:00:00,1852.02,1858.71,1821.22,1821.56,61989480
20220513,07:00:00,1822.62,1828.68,1798.97,1810.68,46555430
20220516,07:00:00,1809.65,1826.83,1786.64,1823.86,46714120
20220517,07:00:00,1824.70,1836.00,1812.78,1814.88,54986410
20220518,07:00:00,1814.14,1824.61,1807.23,1816.24,48685320
20220519,07:00:00,1815.94,1849.05,1810.80,1841.70,50257790
20220520,07:00:00,1840.34,1849.30,1832.18,1845.74,40056710
20220523,07:00:00,1844.69,1865.33,1843.35,1853.25,38676930
20220524,07:00:00,1853.17,1869.57,1849.21,1866.28,33817350
20220525,07:00:00,1866.26,1867.88,1842.14,1853.22,31059670
20220526,07:00:00,1852.51,1854.22,1840.80,1850.38,35508370
20220527,07:00:00,1850.33,1861.84,1847.83,1852.84,29727200
20220530,07:00:00,1852.54,1863.88,1848.01,1855.75,17557830
20220531,07:00:00,1855.94,1857.02,1834.86,1837.05,36289600
20220601,07:00:00,1836.14,1849.89,1828.36,1846.21,34182170
20220602,07:00:00,1846.14,1870.34,1843.91,1868.38,28241530
20220603,07:00:00,1867.83,1873.96,1847.27,1850.34,30006510
20220606,07:00:00,1850.62,1857.75,1840.58,1841.08,31722650
20220607,07:00:00,1840.48,1855.46,1836.92,1852.12,31027500
20220608,07:00:00,1851.52,1859.57,1844.48,1853.09,29540960
20220609,07:00:00,1852.08,1855.27,1839.91,1847.79,33189550
20220610,07:00:00,1847.34,1875.87,1824.95,1871.04,42059680
20220613,07:00:00,1874.94,1878.76,1817.90,1818.84,55964120
20220614,07:00:00,1819.32,1831.54,1804.96,1808.15,53580820
20220615,07:00:00,1807.44,1841.84,1807.25,1833.51,56153710
20220616,07:00:00,1832.25,1857.42,1814.72,1857.21,51377480
20220617,07:00:00,1856.66,1857.24,1833.71,1838.78,47140180
20220620,07:00:00,1837.45,1846.00,1834.49,1837.72,27691290
20220621,07:00:00,1837.96,1843.52,1828.42,1832.72,39171220
20220622,07:00:00,1832.62,1847.78,1823.29,1837.59,40786520
20220623,07:00:00,1837.79,1846.24,1822.39,1822.55,47594240
20220624,07:00:00,1822.41,1831.69,1816.90,1825.86,42166100
20220627,07:00:00,1837.38,1840.95,1820.68,1822.62,43696110
20220628,07:00:00,1822.35,1829.41,1818.27,1819.71,34138550
20220629,07:00:00,1819.10,1832.96,1811.98,1817.45,39584300
20220630,07:00:00,1817.20,1825.01,1802.62,1807.10,43285500
20220701,07:00:00,1806.61,1811.70,1784.40,1810.60,47684480
20220704,07:00:00,1812.08,1814.20,1803.84,1807.47,24670090
