DateTime,Open,High,Low,Close
20040706 07:00:00,397.61,398.88,388.55,391.76
20040707 07:00:00,392.12,403.04,391.36,401.89
20040708 07:00:00,401.98,408.67,398.50,407.31
20040709 07:00:00,407.32,407.98,404.48,406.94
20040712 07:00:00,406.97,408.34,404.73,407.47
20040713 07:00:00,407.49,407.57,399.46,400.66
20040714 07:00:00,400.66,405.56,400.66,404.81
20040715 07:00:00,404.69,405.28,400.66,403.54
20040716 07:00:00,403.60,407.13,401.56,406.17
20040719 07:00:00,405.62,407.49,403.38,404.85
20040720 07:00:00,405.04,406.07,398.41,399.34
20040721 07:00:00,399.64,401.65,393.90,395.87
20040722 07:00:00,395.84,397.96,392.46,393.55
20040723 07:00:00,393.64,395.88,387.04,389.42
20040726 07:00:00,389.07,392.16,388.06,389.00
20040727 07:00:00,389.25,393.15,385.33,387.05
20040728 07:00:00,386.69,389.83,384.57,387.02
20040729 07:00:00,387.38,390.80,385.49,386.92
20040730 07:00:00,386.84,391.89,386.27,390.66
20040802 07:00:00,389.76,393.86,389.59,391.36
20040803 07:00:00,390.97,394.25,387.99,393.13
20040804 07:00:00,393.16,393.92,389.46,391.25
20040805 07:00:00,390.74,392.96,389.50,392.06
20040806 07:00:00,392.09,400.50,390.44,399.29
20040809 07:00:00,399.17,400.38,396.91,399.54
20040810 07:00:00,399.40,400.62,396.90,398.01
20040811 07:00:00,397.71,398.45,392.10,394.99
20040812 07:00:00,394.50,397.05,392.53,393.30
20040813 07:00:00,393.09,399.21,391.38,398.19
20040816 07:00:00,397.91,402.82,397.62,401.42
20040817 07:00:00,401.53,404.82,399.38,403.73
20040818 07:00:00,403.68,405.03,400.37,403.66
20040819 07:00:00,404.11,407.47,402.75,405.86
20040820 07:00:00,405.74,413.89,404.01,411.94
20040823 07:00:00,411.79,412.25,407.46,408.38
20040824 07:00:00,408.66,409.44,401.35,402.40
20040825 07:00:00,402.63,407.62,401.58,405.80
20040826 07:00:00,405.52,408.73,403.32,405.33
20040827 07:00:00,405.60,408.20,400.68,402.35
20040830 07:00:00,402.26,408.51,401.86,407.63
20040831 07:00:00,407.24,410.48,405.64,409.13
20040901 07:00:00,408.98,409.81,405.67,408.18
20040902 07:00:00,407.65,408.72,404.52,405.65
20040903 07:00:00,405.54,406.45,398.02,400.21
20040906 07:00:00,400.10,402.59,399.44,402.07
20040907 07:00:00,401.74,402.20,395.67,396.84
20040908 07:00:00,397.04,399.78,394.11,398.86
20040909 07:00:00,398.74,400.30,396.20,398.25
20040910 07:00:00,398.24,402.51,397.95,401.93
20040913 07:00:00,401.60,404.38,397.94,402.94
20040914 07:00:00,403.25,406.55,401.08,404.34
20040915 07:00:00,404.42,405.60,402.01,404.50
20040916 07:00:00,404.69,405.58,401.65,403.73
20040917 07:00:00,403.52,406.63,402.21,405.20
20040920 07:00:00,405.22,405.24,402.43,404.59
20040921 07:00:00,404.59,409.38,402.96,408.06
20040922 07:00:00,407.93,409.31,403.15,406.64
20040923 07:00:00,407.04,411.62,405.34,409.14
20040924 07:00:00,408.68,411.57,405.75,406.77
